,loss
0,0.026982657611370087
1,0.013477089814841747
2,0.011081219650804996
3,0.010072305798530579
4,0.010210237465798855
5,0.009692946448922157
6,0.007669125683605671
7,0.00799376331269741
8,0.007960107177495956
9,0.007478024810552597
10,0.0070098042488098145
11,0.0075773694552481174
12,0.006592934485524893
13,0.005568907596170902
14,0.0068860431201756
15,0.006313737481832504
16,0.006127024535089731
17,0.005431378725916147
18,0.005497271660715342
19,0.0060868836008012295
20,0.005749647971242666
21,0.0056444513611495495
22,0.005325603298842907
23,0.005217349156737328
24,0.005690711550414562
