,loss
0,0.03264519199728966
1,0.006861682515591383
2,0.005221234168857336
3,0.004939725622534752
4,0.004780747927725315
5,0.003954937215894461
6,0.0042058927938342094
7,0.0036973271053284407
8,0.004031040705740452
9,0.0037515691947191954
10,0.0034011309035122395
11,0.0035206067841500044
12,0.0035519616212695837
13,0.003337671747431159
14,0.0031204402912408113
15,0.0030101542361080647
16,0.0031691226176917553
17,0.003007527906447649
18,0.0029722321778535843
19,0.0027754593174904585
20,0.002708007814362645
21,0.002478355308994651
22,0.0026930435560643673
23,0.0025570527650415897
24,0.0028450593817979097
