,loss
0,0.11526699364185333
1,0.06322561949491501
2,0.056151073426008224
3,0.055783405900001526
4,0.051859717816114426
5,0.05195660516619682
6,0.0491509810090065
7,0.048956241458654404
8,0.04980373755097389
9,0.047219716012477875
10,0.046577636152505875
11,0.0447593592107296
12,0.043164268136024475
13,0.044112350791692734
14,0.04119129851460457
15,0.04370725899934769
16,0.04270729422569275
17,0.04408855363726616
18,0.041120707988739014
19,0.04114017263054848
20,0.0391380600631237
21,0.04173310846090317
22,0.03939027339220047
23,0.04101051762700081
24,0.03898904100060463
