,loss
0,0.10292059928178787
1,0.06612963229417801
2,0.06243351474404335
3,0.06077757477760315
4,0.056903086602687836
5,0.05735689401626587
6,0.05520676448941231
7,0.055664852261543274
8,0.05399781093001366
9,0.05616731196641922
10,0.055368416011333466
11,0.05235743150115013
12,0.05274585634469986
13,0.050999194383621216
14,0.04891273379325867
15,0.04932220280170441
16,0.04923441633582115
17,0.05347850173711777
18,0.048204902559518814
19,0.04941946640610695
20,0.04887025058269501
21,0.04844219982624054
22,0.04878084734082222
23,0.049254365265369415
24,0.04790547862648964
