,loss
0,0.14932432770729065
1,0.06843016296625137
2,0.058790966868400574
3,0.055826060473918915
4,0.054036352783441544
5,0.0543348602950573
6,0.049590323120355606
7,0.05080704018473625
8,0.050924286246299744
9,0.051569320261478424
10,0.04750236123800278
11,0.04855034872889519
12,0.04988878592848778
13,0.049951959401369095
14,0.047545112669467926
15,0.04545155167579651
16,0.045834217220544815
17,0.04530736431479454
18,0.042361512780189514
19,0.04286130145192146
20,0.044727202504873276
21,0.042800892144441605
22,0.04313771799206734
23,0.044144246727228165
24,0.043513670563697815
