,loss
0,0.1934501677751541
1,0.09189898520708084
2,0.0678524374961853
3,0.05917534977197647
4,0.05763496458530426
5,0.054726894944906235
6,0.05053259804844856
7,0.050783827900886536
8,0.05137376859784126
9,0.049056973308324814
10,0.04713049530982971
11,0.046624064445495605
12,0.04638076573610306
13,0.04605043679475784
14,0.042763836681842804
15,0.04363449662923813
16,0.045511361211538315
17,0.04398225620388985
18,0.042398400604724884
19,0.043664559721946716
20,0.042795535176992416
21,0.04301438853144646
22,0.04343874752521515
23,0.041984397917985916
24,0.04128601402044296
