,loss
0,0.03916727378964424
1,0.014938300475478172
2,0.011831292882561684
3,0.010883491486310959
4,0.00869830884039402
5,0.007856673561036587
6,0.0072684260085225105
7,0.007138343993574381
8,0.006965177599340677
9,0.007137701380997896
10,0.00650146184489131
11,0.006582848262041807
12,0.006685905158519745
13,0.0071390485391020775
14,0.0064162504859268665
15,0.006266599986702204
16,0.006294965278357267
17,0.006226460915058851
18,0.006233857944607735
19,0.005924838129431009
20,0.00593231339007616
21,0.005852218251675367
22,0.005791415926069021
23,0.00554392347112298
24,0.005762692540884018
