,loss
0,0.10703891515731812
1,0.06373941153287888
2,0.056680742651224136
3,0.0522812083363533
4,0.05231915041804314
5,0.05111537501215935
6,0.04757605865597725
7,0.05228208750486374
8,0.049135759472846985
9,0.05027015507221222
10,0.047902658581733704
11,0.04699862375855446
12,0.045063652098178864
13,0.044039782136678696
14,0.04723808541893959
15,0.042674001306295395
16,0.04193709045648575
17,0.041772279888391495
18,0.04163191467523575
19,0.040514275431632996
20,0.03932478278875351
21,0.04171903431415558
22,0.04158402979373932
23,0.04179022088646889
24,0.04066663607954979
