,loss
0,0.1601932793855667
1,0.09187339246273041
2,0.0725465938448906
3,0.07274537533521652
4,0.07197793573141098
5,0.06613380461931229
6,0.06548494100570679
7,0.06539635360240936
8,0.066095270216465
9,0.06374994665384293
10,0.06065401807427406
11,0.05980707332491875
12,0.060433533042669296
13,0.060697101056575775
14,0.058857813477516174
15,0.0564914233982563
16,0.05598023906350136
17,0.05641204118728638
18,0.05534043535590172
19,0.054658666253089905
20,0.05661124363541603
21,0.05428924411535263
22,0.04969724267721176
23,0.054493360221385956
24,0.055071428418159485
