,loss
0,0.11660581082105637
1,0.06932786852121353
2,0.06667081266641617
3,0.05981038883328438
4,0.06143705174326897
5,0.055925723165273666
6,0.055841900408267975
7,0.05060470849275589
8,0.05928301811218262
9,0.04945554956793785
10,0.04732213169336319
11,0.05041946470737457
12,0.04739081487059593
13,0.04535026103258133
14,0.044858843088150024
15,0.04417509213089943
16,0.044252775609493256
17,0.04300234094262123
18,0.04175228998064995
19,0.041244056075811386
20,0.04536234959959984
21,0.04328281059861183
22,0.04009502753615379
23,0.04335349425673485
24,0.04018881544470787
