,loss
0,0.14965122938156128
1,0.07497565448284149
2,0.06721040606498718
3,0.06259123980998993
4,0.062326397746801376
5,0.05865219980478287
6,0.061585791409015656
7,0.06573737412691116
8,0.057412952184677124
9,0.05994325503706932
10,0.05517948791384697
11,0.056131113320589066
12,0.05578971654176712
13,0.0550818033516407
14,0.05755171924829483
15,0.05070383474230766
16,0.049743156880140305
17,0.04935545101761818
18,0.04684213176369667
19,0.04902850463986397
20,0.04850548878312111
21,0.04614623636007309
22,0.04820239171385765
23,0.049645595252513885
24,0.047061190009117126
