timestamp,epochs,batch_size,layers,units,dropout,cell,optimizer,loss_function,DATA_SOURCE,COMPANY,TRAIN_START,TRAIN_END,TEST_START,TEST_END,PREDICTION_DAYS_PAST,PREDICT_DAYS_AHEAD,TEST_SIZE,SHUFFLE_DATASET,SPLIT_BY_DATE,FEATURE_COLUMNS,PRICE_VALUE,LOCAL_SAVE,LOCAL_LOAD,LOCAL_PATH,SCALE_FEATURES,run_name,time_started,time_ended
20230911-021914,25,32,2,50,0.2,LSTM,adam,mean_absolute_error,yahoo,TSLA,2015-01-01,2020-01-01,2020-01-02,2022-12-31,60,1,0.2,True,True,"['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']",Close,True,True,./data,True,TSLA_-_20230911-021914,20230911-021857,20230911-021914
20230911-022032,25,32,2,50,0.2,GRU,adam,mean_absolute_error,yahoo,TSLA,2015-01-01,2020-01-01,2020-01-02,2022-12-31,60,1,0.2,True,True,"['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']",Close,True,True,./data,True,TSLA_-_20230911-022032,20230911-022015,20230911-022032
20230911-022120,25,32,2,50,0.2,LSTM,rmsprop,mean_absolute_error,yahoo,TSLA,2015-01-01,2020-01-01,2020-01-02,2022-12-31,60,1,0.2,True,True,"['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']",Close,True,True,./data,True,TSLA_-_20230911-022120,20230911-022103,20230911-022120
20230911-022153,25,32,2,50,0.2,GRU,rmsprop,mean_absolute_error,yahoo,TSLA,2015-01-01,2020-01-01,2020-01-02,2022-12-31,60,1,0.2,True,True,"['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']",Close,True,True,./data,True,TSLA_-_20230911-022153,20230911-022136,20230911-022153
20230911-022336,25,32,2,50,0.2,LSTM,sgd,mean_absolute_error,yahoo,TSLA,2015-01-01,2020-01-01,2020-01-02,2022-12-31,60,1,0.2,True,True,"['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']",Close,True,True,./data,True,TSLA_-_20230911-022336,20230911-022320,20230911-022336
20230911-022411,25,32,2,50,0.2,GRU,sgd,mean_absolute_error,yahoo,TSLA,2015-01-01,2020-01-01,2020-01-02,2022-12-31,60,1,0.2,True,True,"['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']",Close,True,True,./data,True,TSLA_-_20230911-022411,20230911-022354,20230911-022411
