,loss
0,0.03904923051595688
1,0.007665335200726986
2,0.006616491358727217
3,0.005186435766518116
4,0.005365100223571062
5,0.0049543483182787895
6,0.005006545223295689
7,0.005022149067372084
8,0.004169663414359093
9,0.004527748096734285
10,0.004506827797740698
11,0.004113629460334778
12,0.003911149688065052
13,0.004065157379955053
14,0.003784891916438937
15,0.0039329081773757935
16,0.004042142070829868
17,0.0037974142469465733
18,0.0036070116329938173
19,0.0033721597865223885
20,0.0035276603884994984
21,0.0033630046527832747
22,0.0031964860390871763
23,0.003205467015504837
24,0.0028991661965847015
