,loss
0,0.0268977303057909
1,0.00833735428750515
2,0.007243617437779903
3,0.007126151118427515
4,0.00640149274840951
5,0.005026352126151323
6,0.005519256927073002
7,0.005136771593242884
8,0.004878573585301638
9,0.0053556677885353565
10,0.004436141345649958
11,0.004461773205548525
12,0.004276841878890991
13,0.0044294013641774654
14,0.004063676111400127
15,0.0038274070248007774
16,0.0038086462300270796
17,0.003980961162596941
18,0.004070471506565809
19,0.003832426620647311
20,0.0035510596353560686
21,0.0037448806688189507
22,0.0034817804116755724
23,0.0035670693032443523
24,0.0034612054005265236
