timestamp,epochs,batch_size,layers,units,dropout,cell,optimizer,loss_function,DATA_SOURCE,COMPANY,TRAIN_START,TRAIN_END,TEST_START,TEST_END,PREDICTION_DAYS_PAST,PREDICT_DAYS_AHEAD,TEST_SIZE,SHUFFLE_DATASET,SPLIT_BY_DATE,FEATURE_COLUMNS,PRICE_VALUE,LOCAL_SAVE,LOCAL_LOAD,LOCAL_PATH,SCALE_FEATURES,run_name,time_started,time_ended
20230911-020158,25,32,2,50,0.2,LSTM,adam,mean_squared_error,yahoo,TSLA,2015-01-01,2020-01-01,2020-01-02,2022-12-31,60,1,0.2,True,True,"['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']",Close,True,True,./data,True,TSLA_-_20230911-020158,20230911-020141,20230911-020158
20230911-020253,25,32,2,50,0.2,GRU,adam,mean_squared_error,yahoo,TSLA,2015-01-01,2020-01-01,2020-01-02,2022-12-31,60,1,0.2,True,True,"['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']",Close,True,True,./data,True,TSLA_-_20230911-020253,20230911-020236,20230911-020253
20230911-020809,25,32,2,50,0.2,LSTM,rmsprop,mean_squared_error,yahoo,TSLA,2015-01-01,2020-01-01,2020-01-02,2022-12-31,60,1,0.2,True,True,"['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']",Close,True,True,./data,True,TSLA_-_20230911-020809,20230911-020752,20230911-020809
20230911-020926,25,32,2,50,0.2,GRU,rmsprop,mean_squared_error,yahoo,TSLA,2015-01-01,2020-01-01,2020-01-02,2022-12-31,60,1,0.2,True,True,"['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']",Close,True,True,./data,True,TSLA_-_20230911-020926,20230911-020909,20230911-020926
20230911-021018,25,32,2,50,0.2,LSTM,sgd,mean_squared_error,yahoo,TSLA,2015-01-01,2020-01-01,2020-01-02,2022-12-31,60,1,0.2,True,True,"['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']",Close,True,True,./data,True,TSLA_-_20230911-021018,20230911-021001,20230911-021018
20230911-021055,25,32,2,50,0.2,GRU,sgd,mean_squared_error,yahoo,TSLA,2015-01-01,2020-01-01,2020-01-02,2022-12-31,60,1,0.2,True,True,"['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']",Close,True,True,./data,True,TSLA_-_20230911-021055,20230911-021038,20230911-021055
