,loss
0,0.155129075050354
1,0.0680045410990715
2,0.05568517744541168
3,0.04932628571987152
4,0.04699958860874176
5,0.04641864448785782
6,0.04742896556854248
7,0.044244106858968735
8,0.04460669681429863
9,0.045966941863298416
10,0.040977612137794495
11,0.042658183723688126
12,0.04167913645505905
13,0.040879566222429276
14,0.04377436637878418
15,0.03756361082196236
16,0.03821880370378494
17,0.039233412593603134
18,0.039243534207344055
19,0.039069268852472305
20,0.037999771535396576
21,0.037971656769514084
22,0.0387190580368042
23,0.04059106856584549
24,0.039945825934410095
