,loss
0,0.1250268816947937
1,0.07413972914218903
2,0.06593319028615952
3,0.06867097318172455
4,0.06397632509469986
5,0.061613261699676514
6,0.05883767828345299
7,0.058799859136343
8,0.05831793323159218
9,0.05836308002471924
10,0.055475737899541855
11,0.05609099566936493
12,0.054404113441705704
13,0.054953642189502716
14,0.05410196632146835
15,0.05271424725651741
16,0.05335419252514839
17,0.05358605459332466
18,0.05064734071493149
19,0.052158456295728683
20,0.05255827680230141
21,0.04946739971637726
22,0.05018630996346474
23,0.04943154752254486
24,0.0508534200489521
