timestamp,epochs,batch_size,layers,units,dropout,cell,optimizer,loss_function,DATA_SOURCE,COMPANY,TRAIN_START,TRAIN_END,TEST_START,TEST_END,PREDICTION_DAYS_PAST,PREDICT_DAYS_AHEAD,TEST_SIZE,SHUFFLE_DATASET,SPLIT_BY_DATE,FEATURE_COLUMNS,PRICE_VALUE,LOCAL_SAVE,LOCAL_LOAD,LOCAL_PATH,SCALE_FEATURES,run_name,time_started,time_ended
20230922-231709,25,32,2,50,0.2,LSTM,adam,mean_absolute_error,yahoo,TSLA,2015-01-01,2020-01-01,2020-01-02,2022-12-31,60,1,0.2,True,True,"['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']",Close,True,True,./data,True,TSLA_-_20230922-231709,20230922-231653,20230922-231709
20230922-231834,25,32,2,50,0.2,LSTM,adam,mean_absolute_error,yahoo,TSLA,2015-01-01,2020-01-01,2020-01-02,2022-12-31,60,3,0.2,True,True,"['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']",Close,True,True,./data,True,TSLA_-_20230922-231834,20230922-231818,20230922-231834
20230922-231924,25,32,2,50,0.2,LSTM,adam,mean_absolute_error,yahoo,TSLA,2015-01-01,2020-01-01,2020-01-02,2022-12-31,60,7,0.2,True,True,"['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume']",Close,True,True,./data,True,TSLA_-_20230922-231924,20230922-231908,20230922-231924
