,loss
0,0.14791087806224823
1,0.06600259989500046
2,0.053804319351911545
3,0.052181411534547806
4,0.046050433069467545
5,0.04554920271039009
6,0.04476086422801018
7,0.04355914145708084
8,0.04301510006189346
9,0.04780769720673561
10,0.04491047561168671
11,0.04015616700053215
12,0.04145710915327072
13,0.03984111174941063
14,0.038703396916389465
15,0.0387524738907814
16,0.04013267904520035
17,0.038614798337221146
18,0.04029226675629616
19,0.03704167157411575
20,0.036533016711473465
21,0.03580112010240555
22,0.035079482942819595
23,0.03492213413119316
24,0.03548354655504227
