,loss
0,0.13791130483150482
1,0.08018923550844193
2,0.07626935094594955
3,0.07089611142873764
4,0.07137010991573334
5,0.07088634371757507
6,0.07210198044776917
7,0.06548099964857101
8,0.06856916099786758
9,0.06595081835985184
10,0.06731373816728592
11,0.06562357395887375
12,0.06465154886245728
13,0.06400228291749954
14,0.06253848969936371
15,0.0661381185054779
16,0.06472760438919067
17,0.06193196773529053
18,0.06035932898521423
19,0.0616864413022995
20,0.060759615153074265
21,0.06019362434744835
22,0.05927830934524536
23,0.058412328362464905
24,0.05923789367079735
