,loss
0,0.09116652607917786
1,0.06659498810768127
2,0.05733513459563255
3,0.06378060579299927
4,0.05848164111375809
5,0.05634284391999245
6,0.053248126059770584
7,0.052811820060014725
8,0.05191276594996452
9,0.05399437993764877
10,0.0504668764770031
11,0.05041205510497093
12,0.04754906892776489
13,0.04982807859778404
14,0.0461728498339653
15,0.04896538332104683
16,0.04743940010666847
17,0.04664510861039162
18,0.04516054317355156
19,0.04480765014886856
20,0.044316086918115616
21,0.043770644813776016
22,0.04220903292298317
23,0.042198341339826584
24,0.04258487746119499
