,loss
0,0.12457221001386642
1,0.07791047543287277
2,0.06817623972892761
3,0.06624022871255875
4,0.06605304777622223
5,0.06440307199954987
6,0.06467165052890778
7,0.062832772731781
8,0.06145426258444786
9,0.05801426246762276
10,0.0565626360476017
11,0.05565326288342476
12,0.054728589951992035
13,0.05560850724577904
14,0.05227437615394592
15,0.05137050151824951
16,0.052616607397794724
17,0.049478475004434586
18,0.055042196065187454
19,0.048050656914711
20,0.04619988799095154
21,0.04749969765543938
22,0.04968751594424248
23,0.04900685325264931
24,0.04499658942222595
